MEAN_MOTION;ECCENTRICITY;INCLINATION;RA_OF_ASC_NODE;ARG_OF_PERICENTER;MEAN_ANOMALY;BSTAR;MEAN_MOTION_DOT;MEAN_MOTION_DDOT;TYPE
12.53637172;0.0012141;101.7324;43.5703;168.5314;215.9583;0.00015747;-2.0E-7;0;Amateur
12.53637236;0.0012152;101.7326;44.5181;166.6738;222.5935;0.00014919;-2.1E-7;0;Amateur
12.53637249;0.0012157;101.7327;45.1675;165.3962;307.4304;0.00011879;-2.6E-7;0;Amateur
12.53637267;0.0012163;101.7328;45.5428;164.6697;220.7017;0.00010324;-2.8E-7;0;Amateur
12.53637268;0.0012171;101.7329;46.1146;163.5461;310.6876;5.9203E-5;-3.5E-7;0;Amateur
12.53637276;0.0012176;101.733;46.4905;162.8196;226.6662;5.5424E-5;-3.6E-7;0;Amateur
12.53637273;0.0012175;101.7331;47.0696;161.699;350.4471;2.6639E-5;-4.1E-7;0;Amateur
12.53637242;0.0012194;101.7334;48.4636;159.0138;233.5975;-3.4393E-5;-5.0E-7;0;Amateur
12.53637219;0.0012194;101.7334;48.5393;158.8558;219.4503;-5.16E-5;-5.3E-7;0;Amateur
12.53637254;0.0012217;101.7336;49.4942;156.947;258.7185;-2.8054E-5;-4.9E-7;0;Amateur
12.53637221;0.0012229;101.7338;50.5221;154.9639;270.7046;-3.5887E-5;-5.1E-7;0;Amateur
12.53637216;0.0012224;101.7339;50.7595;154.5019;274.1509;-2.2502E-5;-4.8E-7;0;Amateur
12.5363722;0.0012232;101.734;51.5491;153.0315;277.871;1.055E-5;-4.3E-7;0;Amateur
12.53637216;0.0012237;101.7341;51.7961;152.5474;325.1491;1.7808E-5;-4.2E-7;0;Amateur
12.53637184;0.0012241;101.7342;52.4162;151.3398;275.6051;9.686E-6;-4.3E-7;0;Amateur
12.53637226;0.0012247;101.7346;53.1341;149.9628;311.2061;6.8019E-6;-4.4E-7;0;Amateur
12.53637242;0.0012251;101.7347;53.5167;149.2252;257.5954;4.0877E-5;-3.8E-7;0;Amateur
12.53637221;0.0012273;101.7344;54.3885;147.5029;278.0531;0.00010462;-2.8E-7;0;Amateur
12.53637225;0.0012273;101.7344;54.4672;147.3473;277.0211;0.00010411;-2.8E-7;0;Amateur
12.53637246;0.0012281;101.7345;55.0987;146.1188;279.5915;0.00012299;-2.5E-7;0;Amateur
12.53637259;0.0012287;101.7346;55.4118;145.5149;268.7036;0.000142;-2.2E-7;0;Amateur
12.53637287;0.0012294;101.7347;56.1237;144.1283;277.7544;0.00016008;-1.9E-7;0;Amateur
12.53637282;0.00123;101.7347;56.4393;143.5252;278.3935;0.00012369;-2.5E-7;0;Amateur
12.53637293;0.0012303;101.7347;56.6905;143.0315;344.8086;0.00012541;-2.5E-7;0;Amateur
12.53637334;0.0012308;101.7348;57.0716;142.2946;284.0439;0.00014148;-2.2E-7;0;Amateur
12.53637353;0.0012313;101.7348;57.3845;141.6973;272.378;0.00015142;-2.1E-7;0;Amateur
12.536374;0.001232;101.7349;58.0284;140.4464;331.2944;0.00016074;-1.9E-7;0;Amateur
12.53637391;0.0012329;101.735;58.4123;139.7073;283.1612;0.00012383;-2.5E-7;0;Amateur
12.53637439;0.0012338;101.7351;59.0544;138.4538;333.7016;0.00012568;-2.5E-7;0;Amateur
12.53637457;0.0012344;101.7351;59.3572;137.8731;275.7871;0.00013092;-2.4E-7;0;Amateur
12.53637483;0.0012361;101.7353;60.3839;135.8797;281.5807;9.0752E-5;-3.0E-7;0;Amateur
12.53637504;0.0012375;101.7355;61.33;134.0532;279.2696;6.2539E-5;-3.5E-7;0;Amateur
12.53637462;0.0012383;101.7357;62.2905;132.2182;342.6631;3.3619E-6;-4.4E-7;0;Amateur
12.53637483;0.00124;101.7359;63.3033;130.2564;284.7358;-3.9105E-6;-4.5E-7;0;Amateur
12.53637477;0.0012406;101.736;63.9475;129.0099;344.7813;-7.0568E-6;-4.6E-7;0;Amateur
12.53637471;0.0012414;101.7361;64.3296;128.288;288.6158;-8.5853E-6;-4.6E-7;0;Amateur
12.53637474;0.0012415;101.7363;64.9726;127.0482;342.774;-4.646E-6;-4.6E-7;0;Amateur
12.53637463;0.0012416;101.7364;65.3577;126.3012;300.2963;-3.9618E-6;-4.5E-7;0;Amateur
12.53637458;0.0012414;101.7364;65.4327;126.142;282.5871;-5.6256E-6;-4.6E-7;0;Amateur
12.53637417;0.0012411;101.7366;66.3024;124.4591;290.9609;-1.0334E-5;-4.6E-7;0;Amateur
12.53637419;0.0012414;101.7366;66.6217;123.8477;308.0568;2.4529E-6;-4.4E-7;0;Amateur
12.53637439;0.001243;101.7367;67.3305;122.5159;302.915;3.4195E-5;-3.9E-7;0;Amateur
12.53637446;0.0012438;101.7368;67.8934;121.4282;351.2641;5.7053E-5;-3.6E-7;0;Amateur
12.53637451;0.001244;101.7368;68.2755;120.7044;295.1595;7.4858E-5;-3.3E-7;0;Amateur
12.5363746;0.0012454;101.7369;69.2352;118.8783;354.2962;9.4661E-5;-3.0E-7;0;Amateur
12.53637453;0.0012455;101.7369;69.3036;118.7363;306.3757;8.6626E-5;-3.1E-7;0;Amateur
12.53637467;0.0012465;101.7371;70.2484;116.9235;297.5306;0.00011075;-2.7E-7;0;Amateur
12.53637528;0.0012476;101.7372;71.2764;114.9601;308.2286;0.00013211;-2.4E-7;0;Amateur
12.53637566;0.0012483;101.7373;72.2215;113.1413;300.7931;0.00013203;-2.4E-7;0;Amateur
12.53637578;0.001248;101.7373;72.2963;113.0122;281.9266;0.00013559;-2.3E-7;0;Amateur
12.53637619;0.0012491;101.7374;73.2493;111.2297;310.2366;0.00011063;-2.7E-7;0;Amateur
12.53637664;0.0012488;101.7376;73.894;109.9944;11.9914;0.00011485;-2.6E-7;0;Amateur
12.53637681;0.001249;101.7376;74.1948;109.4338;304.2563;0.00011288;-2.7E-7;0;Amateur
12.53637706;0.0012509;101.7377;75.2217;107.448;309.786;6.1134E-5;-3.5E-7;0;Amateur
12.53637723;0.0012509;101.7379;76.1628;105.6518;283.6627;2.9104E-5;-4.0E-7;0;Amateur
12.53637714;0.0012521;101.738;77.1287;103.834;10.3316;-7.1369E-6;-4.6E-7;0;Amateur
12.53637708;0.001253;101.7381;77.8383;102.4948;7.9222;-3.2078E-5;-5.0E-7;0;Amateur
12.53637723;0.0012532;101.7382;78.2216;101.7814;316.6705;-1.3246E-5;-4.7E-7;0;Amateur
12.53637698;0.0012539;101.7384;79.1686;99.9924;317.6371;-2.0957E-5;-4.8E-7;0;Amateur
12.53637702;0.0012543;101.7385;80.1972;98.0442;330.1119;6.726E-6;-4.4E-7;0;Amateur
12.53637684;0.0012546;101.7386;80.4342;97.5935;331.4383;7.8234E-6;-4.4E-7;0;Amateur
12.5363768;0.0012544;101.7386;81.1417;96.2397;319.5233;2.7967E-5;-4.0E-7;0;Amateur
12.53637682;0.0012547;101.7387;81.7853;95.0062;15.5736;3.9878E-5;-3.8E-7;0;Amateur
12.53637686;0.001255;101.7388;82.1701;94.3023;330.947;5.6801E-5;-3.6E-7;0;Amateur
12.53637686;0.0012558;101.7389;82.7329;93.2406;18.7258;6.8349E-5;-3.4E-7;0;Amateur
12.53637682;0.0012558;101.7389;83.0494;92.6436;22.6781;7.8534E-5;-3.2E-7;0;Amateur
12.53637698;0.0012561;101.739;83.7591;91.2936;20.5746;8.9261E-5;-3.1E-7;0;Amateur
12.53637688;0.0012563;101.739;84.065;90.7224;335.9917;8.5046E-5;-3.1E-7;0;Amateur
12.53637715;0.0012556;101.7397;84.1439;90.5923;335.1617;2.483E-5;-4.1E-7;0;Amateur
12.53637723;0.0012568;101.7391;85.0886;88.7827;325.5093;0.00010273;-2.8E-7;0;Amateur
12.53637761;0.0012574;101.7391;86.1164;86.8707;334.7599;9.9301E-5;-2.9E-7;0;Amateur
12.53637771;0.0012576;101.7392;87.0622;85.0953;329.0518;8.0169E-5;-3.2E-7;0;Amateur
12.53637727;0.0012569;101.7402;87.3818;84.4928;346.1242;3.1064E-5;-4.0E-7;0;Amateur
12.53637812;0.0012577;101.7393;88.0902;83.148;339.1581;6.1945E-5;-3.5E-7;0;Amateur
12.53637837;0.0012581;101.7394;88.6535;82.0903;28.455;5.2991E-5;-3.6E-7;0;Amateur
12.53637851;0.001258;101.7395;89.0358;81.3556;332.7126;5.6472E-5;-3.6E-7;0;Amateur
12.53637868;0.0012585;101.7395;89.6797;80.1161;29.5887;4.2016E-5;-3.8E-7;0;Amateur
12.53637883;0.0012584;101.7396;90.0646;79.4112;345.4982;3.2598E-5;-4.0E-7;0;Amateur
12.53637915;0.0012588;101.7397;90.7178;78.194;85.306;3.0134E-5;-4.0E-7;0;Amateur
12.53637925;0.0012587;101.7397;90.9332;77.7949;347.8662;4.02E-5;-3.8E-7;0;Amateur
12.5363793;0.0012587;101.7397;91.0096;77.6543;336.3923;3.8324E-5;-3.9E-7;0;Amateur
12.53637923;0.0012586;101.7398;91.6546;76.4393;38.7806;1.9272E-5;-4.2E-7;0;Amateur
12.53637915;0.0012587;101.7399;92.0366;75.727;341.2986;1.5971E-6;-4.5E-7;0;Amateur
12.53637923;0.0012587;101.74;92.6802;74.4997;36.9194;-3.3483E-6;-4.5E-7;0;Amateur
12.53637917;0.0012589;101.7401;92.9834;73.9296;340.1079;-1.0986E-5;-4.7E-7;0;Amateur
12.53637913;0.001259;101.7401;93.1387;73.6302;328.1465;-1.3246E-5;-4.7E-7;0;Amateur
12.53637908;0.001259;101.7402;94.0103;71.9886;344.3308;-9.3926E-6;-4.6E-7;0;Amateur
12.53637942;0.0012587;101.7402;94.2489;71.5281;352.3404;2.1378E-5;-4.1E-7;0;Amateur
12.53637961;0.001259;101.7403;94.9573;70.2384;343.6521;4.5575E-5;-3.8E-7;0;Amateur
12.53637941;0.001259;101.7403;95.2765;69.6603;359.6595;4.2969E-5;-3.8E-7;0;Amateur
12.53637919;0.0012588;101.7404;95.984;68.3167;347.232;3.4433E-5;-3.9E-7;0;Amateur
12.53637944;0.0012589;101.7404;96.5503;67.2715;50.6032;5.9636E-5;-3.5E-7;0;Amateur
12.53637922;0.0012585;101.7405;97.8145;64.8671;56.9524;8.9106E-5;-3.1E-7;0;Amateur
12.53637931;0.0012576;101.7415;98.9081;62.7874;4.6072;1.413E-5;-4.3E-7;0;Amateur
12.53637939;0.0012576;101.7415;98.9872;62.6333;5.0154;1.8883E-5;-4.2E-7;0;Amateur
12.53637919;0.0012574;101.7416;99.6299;61.3923;56.6421;3.5519E-6;-4.4E-7;0;Amateur
12.53637909;0.0012572;101.7416;99.9317;60.8353;353.3985;-4.4922E-6;-4.6E-7;0;Amateur
12.53637981;0.0012576;101.7408;100.5764;59.6333;54.802;0.00010458;-2.8E-7;0;Amateur
12.53638003;0.0012573;101.7408;100.9602;58.8949;5.1646;0.00011113;-2.7E-7;0;Amateur
12.53638002;0.0012573;101.7409;101.1979;58.4446;9.3735;0.00010654;-2.8E-7;0;Amateur
12.53638008;0.0012572;101.741;101.9056;57.1053;357.154;7.4399E-5;-3.3E-7;0;Amateur
12.53638015;0.0012571;101.741;102.2252;56.5062;14.6811;6.7853E-5;-3.4E-7;0;Amateur
12.53638028;0.0012566;101.7411;102.8661;55.2846;58.0801;4.4717E-5;-3.8E-7;0;Amateur
12.53638059;0.0012564;101.7411;103.4981;54.0989;60.7663;2.8546E-5;-4.0E-7;0;Amateur
12.53638059;0.001256;101.7412;103.8142;53.5119;62.2147;2.6193E-5;-4.1E-7;0;Amateur
12.53638072;0.001256;101.7412;104.5247;52.1771;62.7257;-1.7094E-6;-4.5E-7;0;Amateur
12.53638078;0.0012556;101.7413;104.9079;51.458;10.4324;-1.4339E-5;-4.7E-7;0;Amateur
12.53638104;0.0012553;101.7413;105.5523;50.2462;69.4906;-1.2935E-5;-4.7E-7;0;Amateur
12.53638104;0.0012548;101.7413;105.8536;49.6913;3.8773;-1.3399E-5;-4.7E-7;0;Amateur
12.53638092;0.0012545;101.7415;106.8811;47.7393;10.2275;-3.3367E-5;-5.0E-7;0;Amateur
12.53638146;0.0012539;101.7416;107.8277;45.9331;7.3421;1.9409E-5;-4.2E-7;0;Amateur
12.53638135;0.0012538;101.7416;108.1473;45.3329;24.8237;2.1407E-5;-4.1E-7;0;Amateur
12.53638152;0.0012538;101.7416;108.4725;44.7327;68.0702;3.2413E-5;-4.0E-7;0;Amateur
12.53638145;0.0012536;101.7416;108.855;43.9861;12.4557;3.1253E-5;-4.0E-7;0;Amateur
12.53638149;0.0012534;101.7417;109.4985;42.7825;67.5973;4.1401E-5;-3.8E-7;0;Amateur
12.5363815;0.0012532;101.7417;109.8018;42.2092;11.1434;5.4479E-5;-3.6E-7;0;Amateur
12.53638156;0.0012528;101.7418;110.4467;40.9883;72.0283;7.8383E-5;-3.2E-7;0;Amateur
12.53638167;0.0012522;101.7418;111.0674;39.8104;23.2417;9.1643E-5;-3.0E-7;0;Amateur
12.53638188;0.0012514;101.7419;111.8582;38.3072;29.4392;0.0001154;-2.6E-7;0;Amateur
12.53638175;0.0012511;101.7419;112.0955;37.8724;31.8392;0.00011259;-2.7E-7;0;Amateur
12.53638174;0.0012506;101.7419;112.803;36.4895;18.8835;0.00010478;-2.8E-7;0;Amateur
12.53638185;0.0012505;101.742;113.4476;35.2506;78.8487;0.00010404;-2.8E-7;0;Amateur
12.53638196;0.00125;101.742;113.8324;34.5199;33.9252;0.0001114;-2.7E-7;0;Amateur
12.53638203;0.0012488;101.742;114.7771;32.741;22.1082;0.0001007;-2.9E-7;0;Amateur
12.53638136;0.001247;101.7431;115.8059;30.7678;33.2357;3.0877E-6;-4.4E-7;0;Amateur
12.53638153;0.0012467;101.7432;116.0441;30.3045;39.7458;1.5798E-5;-4.2E-7;0;Amateur
12.53638217;0.0012465;101.7422;116.6857;29.1241;86.4535;5.4514E-5;-3.6E-7;0;Amateur
12.53638164;0.0012452;101.7433;117.2472;28.059;126.2699;8.7875E-6;-4.4E-7;0;Amateur
12.53638265;0.0012449;101.7423;117.7799;27.0739;36.6009;3.8233E-5;-3.9E-7;0;Amateur
12.53638267;0.0012445;101.7423;118.2655;26.1596;91.2225;1.7014E-5;-4.2E-7;0;Amateur
12.5363827;0.0012438;101.7423;118.7255;25.2727;28.7243;1.4811E-5;-4.3E-7;0;Amateur
12.53638277;0.0012433;101.7424;119.2914;24.1898;89.6997;-2.9606E-6;-4.5E-7;0;Amateur
12.53638294;0.0012425;101.7425;120.3984;22.0781;97.8171;-1.3275E-5;-4.7E-7;0;Amateur
12.53638283;0.001242;101.7426;120.6998;21.5075;32.3794;-2.4516E-5;-4.9E-7;0;Amateur
12.53638314;0.0012407;101.7426;121.7282;19.5498;42.1375;-1.5029E-5;-4.7E-7;0;Amateur
12.53638343;0.0012394;101.7427;122.6741;17.7432;35.8034;1.3091E-5;-4.3E-7;0;Amateur
12.53638341;0.001239;101.7428;123.241;16.6556;101.0598;1.9362E-5;-4.2E-7;0;Amateur
12.53638341;0.001238;101.7428;123.7012;15.7629;39.8922;2.394E-5;-4.1E-7;0;Amateur
12.53638359;0.001237;101.7428;124.64;13.9616;0.9004;5.6379E-5;-3.6E-7;0;Amateur
12.53638373;0.0012355;101.7429;125.6756;11.9915;43.5558;8.319E-5;-3.2E-7;0;Amateur
12.53638401;0.0012344;101.7429;126.1709;11.0797;142.0296;9.73E-5;-2.9E-7;0;Amateur
12.536384;0.0012335;101.7429;126.6227;10.2076;42.5043;0.00011218;-2.7E-7;0;Amateur
12.53638424;0.0012327;101.7429;127.268;8.9815;104.8442;0.00013507;-2.3E-7;0;Amateur
12.53638424;0.0012319;101.743;127.6502;8.2415;47.6058;0.00013056;-2.4E-7;0;Amateur
