MEAN_MOTION;ECCENTRICITY;INCLINATION;RA_OF_ASC_NODE;ARG_OF_PERICENTER;MEAN_ANOMALY;BSTAR;MEAN_MOTION_DOT;MEAN_MOTION_DDOT;TYPE
12.6226524;0.000164;51.9739;250.327;139.5855;339.6574;-1.8096E-5;-1.07E-6;0;Globalstar
12.62265246;0.0001616;51.9739;246.931;141.1851;6.469;-2.0331E-5;-1.07E-6;0;Globalstar
12.62265257;0.0001613;51.9739;243.8256;143.4135;318.8039;-1.7473E-5;-1.07E-6;0;Globalstar
12.62265258;0.0001611;51.974;242.895;144.0992;267.0316;-2.0332E-5;-1.07E-6;0;Globalstar
12.62265256;0.0001601;51.974;241.9404;144.5682;251.1776;-2.2606E-5;-1.08E-6;0;Globalstar
12.62265275;0.000161;51.974;241.3937;145.0196;346.683;-1.4836E-5;-1.06E-6;0;Globalstar
12.62265288;0.0001607;51.9741;239.0577;147.27;230.6829;-1.4685E-5;-1.06E-6;0;Globalstar
12.62265284;0.0001609;51.9741;238.7527;147.375;325.6516;-1.9305E-5;-1.07E-6;0;Globalstar
12.62265294;0.0001601;51.9741;235.863;149.7997;315.9297;-1.8774E-5;-1.07E-6;0;Globalstar
12.62265303;0.0001597;51.9742;235.3631;149.9933;341.8654;-1.9645E-5;-1.07E-6;0;Globalstar
12.62265328;0.0001579;51.9742;232.5045;152.5719;285.7918;-2.1107E-5;-1.08E-6;0;Globalstar
12.62265332;0.0001566;51.9743;229.1115;155.6518;306.6102;-2.3268E-5;-1.08E-6;0;Globalstar
12.62265348;0.0001554;51.9744;226.4741;158.1798;280.3427;-2.6006E-5;-1.08E-6;0;Globalstar
12.62265337;0.0001547;51.9744;223.5821;161.2057;273.4545;-3.7842E-5;-1.11E-6;0;Globalstar
12.62265371;0.0001536;51.9744;222.5752;162.2475;335.3951;-3.6326E-5;-1.1E-6;0;Globalstar
12.62265371;0.0001533;51.9744;220.4428;164.6145;275.5967;-4.1612E-5;-1.11E-6;0;Globalstar
12.62265379;0.0001527;51.9744;219.4289;165.4198;348.0787;-3.5846E-5;-1.1E-6;0;Globalstar
12.62265372;0.0001517;51.9745;217.0511;167.7763;294.5446;-4.1095E-5;-1.11E-6;0;Globalstar
12.62265359;0.0001503;51.9746;214.4135;170.4015;268.4626;-4.8608E-5;-1.12E-6;0;Globalstar
12.62265368;0.0001492;51.9746;212.4955;172.3681;249.0882;-3.7808E-5;-1.11E-6;0;Globalstar
12.62265367;0.0001492;51.9747;211.2595;173.1095;293.1123;-3.9968E-5;-1.11E-6;0;Globalstar
12.62265378;0.0001491;51.9747;210.9998;173.36;320.5239;-3.2546E-5;-1.1E-6;0;Globalstar
12.6226536;0.0001478;51.9747;209.354;174.9733;255.1756;-3.4942E-5;-1.1E-6;0;Globalstar
12.62265369;0.0001473;51.9747;208.1157;175.9992;302.2654;-2.7964E-5;-1.09E-6;0;Globalstar
