MEAN_MOTION;ECCENTRICITY;INCLINATION;RA_OF_ASC_NODE;ARG_OF_PERICENTER;MEAN_ANOMALY;BSTAR;MEAN_MOTION_DOT;MEAN_MOTION_DDOT;TYPE
15.60923378;0.0008578;42.7841;164.5571;331.4368;180.709;5.006E-5;3.929E-5;0;Human Spaceflight
15.60926711;0.0008563;42.7842;162.4358;333.7124;20.4154;5.0672E-5;3.982E-5;0;Human Spaceflight
15.60931113;0.0008543;42.7837;159.6787;336.2716;99.7134;5.1354E-5;4.042E-5;0;Human Spaceflight
15.6093312;0.0008511;42.7834;158.4766;337.8918;154.386;5.175E-5;4.076E-5;0;Human Spaceflight
15.60935391;0.000856;42.7834;157.1091;339.3307;5.5129;5.2102E-5;4.107E-5;0;Human Spaceflight
15.60938242;0.0008487;42.7836;155.3376;341.2787;233.1843;5.266E-5;4.156E-5;0;Human Spaceflight
15.60941557;0.00084;42.7836;153.4435;343.1253;218.1559;5.3421E-5;4.222E-5;0;Human Spaceflight
15.60943619;0.000845;42.7832;152.3647;344.5226;155.7505;5.4557E-5;4.32E-5;0;Human Spaceflight
15.60946443;0.0008371;42.7834;150.9987;345.6068;4.7255;5.6103E-5;4.454E-5;0;Human Spaceflight
15.60947879;0.0008388;42.7833;150.1464;346.5952;87.6152;5.6158E-5;4.459E-5;0;Human Spaceflight
15.60952275;0.0008264;42.7834;148.1239;348.2509;194.1016;5.8348E-5;4.649E-5;0;Human Spaceflight
15.60954821;0.0008253;42.7836;147.0121;349.8055;162.333;5.9634E-5;4.761E-5;0;Human Spaceflight
15.60958427;0.0008179;42.7836;145.2742;351.8166;0.9446;6.139E-5;4.913E-5;0;Human Spaceflight
15.60962647;0.0008156;42.7836;143.2967;353.888;64.8604;6.2789E-5;5.035E-5;0;Human Spaceflight
15.60966393;0.0008086;42.7836;141.2963;356.1618;149.8087;6.3028E-5;5.057E-5;0;Human Spaceflight
15.6097011;0.000809;42.7836;139.5665;358.0739;340.5478;6.472E-5;5.204E-5;0;Human Spaceflight
15.60970843;0.0008086;42.7836;139.1646;358.5392;359.4061;6.4675E-5;5.2E-5;0;Human Spaceflight
15.60974768;0.0007923;42.7835;135.9084;1.6354;189.6431;6.0811E-5;4.866E-5;0;Human Spaceflight
15.60978057;0.0007884;42.7838;133.8524;3.89;327.9693;6.0123E-5;4.807E-5;0;Human Spaceflight
15.60981444;0.0007901;42.7838;131.8647;6.1836;41.6204;5.9988E-5;4.796E-5;0;Human Spaceflight
15.60982227;0.000784;42.7839;129.8666;8.3981;125.0822;5.5137E-5;4.377E-5;0;Human Spaceflight
15.60982606;0.0007796;42.7841;129.466;8.7654;143.4924;5.4572E-5;4.328E-5;0;Human Spaceflight
15.60983329;0.0007707;42.7842;127.7349;10.7293;335.6025;4.8931E-5;3.84E-5;0;Human Spaceflight
15.60986299;0.0007702;42.7842;125.6997;13.0979;93.7303;4.9047E-5;3.85E-5;0;Human Spaceflight
15.60988306;0.000758;42.7841;123.786;15.3076;97.333;4.7768E-5;3.74E-5;0;Human Spaceflight
15.60989961;0.0007504;42.784;122.023;17.395;319.4916;4.563E-5;3.555E-5;0;Human Spaceflight
15.60992997;0.0007429;42.784;120.0331;19.5249;35.2041;4.6518E-5;3.632E-5;0;Human Spaceflight
15.60998032;0.0007363;42.7837;116.3122;24.0781;302.4801;4.6961E-5;3.671E-5;0;Human Spaceflight
15.61000965;0.0007342;42.7837;114.2674;26.4538;70.2282;4.7212E-5;3.694E-5;0;Human Spaceflight
15.61003603;0.0007309;42.7837;111.9362;29.3307;106.7469;4.6211E-5;3.607E-5;0;Human Spaceflight
15.61006303;0.000729;42.7837;109.7851;31.8042;333.8595;4.5687E-5;3.562E-5;0;Human Spaceflight
15.61009095;0.000725;42.7836;107.8411;34.0314;5.7325;4.6206E-5;3.608E-5;0;Human Spaceflight
15.6101067;0.00072;42.7837;106.2027;35.9844;109.7165;4.5035E-5;3.507E-5;0;Human Spaceflight
15.61013292;0.0007145;42.7835;104.0723;38.7636;317.1458;4.46E-5;3.469E-5;0;Human Spaceflight
15.61016175;0.0007089;42.7834;102.0629;41.1254;50.5631;4.52E-5;3.522E-5;0;Human Spaceflight
15.6101815;0.0007057;42.7832;100.0867;43.4801;113.2707;4.4131E-5;3.429E-5;0;Human Spaceflight
15.61020205;0.0007013;42.783;98.3605;45.6136;301.2809;4.3695E-5;3.392E-5;0;Human Spaceflight
15.61023484;0.0006952;42.7829;95.9607;48.4633;43.0578;4.4223E-5;3.438E-5;0;Human Spaceflight
15.61025847;0.0006945;42.7831;94.0062;51.0084;86.3615;4.3971E-5;3.416E-5;0;Human Spaceflight
15.61027972;0.0006904;42.7832;92.2273;53.3562;322.577;4.3503E-5;3.376E-5;0;Human Spaceflight
15.61031371;0.0006816;42.7831;89.8473;56.273;45.5286;4.4267E-5;3.443E-5;0;Human Spaceflight
15.61032512;0.0006795;42.7831;89.0505;57.2055;76.65;4.4448E-5;3.459E-5;0;Human Spaceflight
15.61033751;0.0006806;42.7833;88.2894;58.1796;74.1187;4.498E-5;3.505E-5;0;Human Spaceflight
15.61035648;0.000677;42.7834;86.935;60.1107;270.3988;4.5302E-5;3.533E-5;0;Human Spaceflight
15.61036218;0.0006768;42.7834;86.5125;60.5991;308.5266;4.5328E-5;3.535E-5;0;Human Spaceflight
15.6103976;0.0006641;42.7832;84.1312;63.8476;32.3558;4.6217E-5;3.613E-5;0;Human Spaceflight
15.61042718;0.0006629;42.7833;82.5421;65.7285;90.8478;4.7591E-5;3.732E-5;0;Human Spaceflight
15.61046373;0.0006599;42.7833;80.4134;68.3965;297.8627;4.942E-5;3.892E-5;0;Human Spaceflight
