MEAN_MOTION;ECCENTRICITY;INCLINATION;RA_OF_ASC_NODE;ARG_OF_PERICENTER;MEAN_ANOMALY;BSTAR;MEAN_MOTION_DOT;MEAN_MOTION_DDOT;TYPE
1.00271231;0.0002069;0.0171;130.0882;226.9549;217.0571;0;3.5E-7;0;Intelsat
1.00271299;0.000211;0.0192;130.9773;229.1016;193.9256;0;3.1E-7;0;Intelsat
1.00271319;0.0002107;0.0196;131.0664;229.3041;224.0718;0;3.1E-7;0;Intelsat
1.00272323;0.0002089;0.0214;105.6896;255.0159;55.744;0;2.9E-7;0;Intelsat
1.00272364;0.0002093;0.0206;100.8145;260.2884;96.8432;0;2.9E-7;0;Intelsat
1.00270692;0.0002104;0.0163;84.4888;273.5977;290.8824;0;2.8E-7;0;Intelsat
1.00270903;0.0002102;0.0168;83.7568;274.2072;94.9102;0;2.6E-7;0;Intelsat
1.00271017;0.0002108;0.0183;79.961;279.303;208.2935;0;2.5E-7;0;Intelsat
1.00268142;0.0002341;0.0157;165.753;199.7588;286.2728;0;2.6E-7;0;Intelsat
1.00271983;0.0001987;0.0147;178.1687;193.9217;67.303;0;2.4E-7;0;Intelsat
1.00269897;0.0002114;0.0145;174.9427;194.5095;121.4257;0;2.4E-7;0;Intelsat
1.00270249;0.0002126;0.0143;172.0774;202.6531;149.467;0;2.4E-7;0;Intelsat
1.00270296;0.0002122;0.0143;171.6002;203.3012;197.1768;0;2.3E-7;0;Intelsat
1.00270618;0.0002107;0.0139;169.4448;208.2277;75.7855;0;2.3E-7;0;Intelsat
1.00271171;0.0002094;0.0132;160.3331;221.7753;151.3264;0;2.5E-7;0;Intelsat
1.00271228;0.0002093;0.0134;159.701;222.7103;198.5865;0;2.4E-7;0;Intelsat
1.00271694;0.0002076;0.0133;150.25;235.1174;187.5236;0;2.5E-7;0;Intelsat
1.00271804;0.0002074;0.0131;148.5263;236.9713;280.2888;0;2.6E-7;0;Intelsat
1.00273369;0.0002055;0.0179;90.6993;295.829;44.5795;0;2.6E-7;0;Intelsat
1.00273411;0.000207;0.017;132.2258;252.9992;184.5608;0;2.6E-7;0;Intelsat
1.00273468;0.0002066;0.0169;128.0523;257.0639;283.4879;0;2.7E-7;0;Intelsat
1.0027354;0.0002056;0.0172;101.0599;284.0098;27.1728;0;2.7E-7;0;Intelsat
1.00273636;0.0002055;0.0174;112.234;271.4936;207.6115;0;2.7E-7;0;Intelsat
1.00272385;0.000195;0.0084;191.5111;200.7091;144.4223;0;2.8E-7;0;Intelsat
1.00272367;0.0001952;0.0086;188.3803;204.1601;185.9997;0;2.8E-7;0;Intelsat
1.00274328;0.0001933;0.0064;157.6127;234.3947;34.5535;0;2.9E-7;0;Intelsat
1.00274345;0.0001937;0.0065;158.2588;234.3754;64.9025;0;2.8E-7;0;Intelsat
1.00274399;0.000193;0.0063;162.284;230.1214;177.7332;0;2.8E-7;0;Intelsat
1.00272983;0.0001942;0.0097;168.5708;225.1856;1.0283;0;2.9E-7;0;Intelsat
1.00272983;0.0001942;0.0097;168.5708;225.1856;1.0283;0;2.9E-7;0;Intelsat
1.00270834;0.0001913;0.0071;164.7233;221.8903;51.1942;0;3.1E-7;0;Intelsat
1.00270851;0.0001903;0.0075;160.8386;226.2948;75.7143;0;3.1E-7;0;Intelsat
1.00270964;0.0001908;0.0075;161.3648;224.937;203.9814;0;3.1E-7;0;Intelsat
1.00269321;0.0001886;0.0122;160.1522;228.2744;37.8251;0;3.2E-7;0;Intelsat
1.00271266;0.0001872;0.0098;149.3963;237.8573;174.343;0;3.2E-7;0;Intelsat
1.00271274;0.0001872;0.01;149.4905;237.7804;188.8247;0;3.2E-7;0;Intelsat
1.00269414;0.0001848;0.013;159.5133;229.0123;269.2142;0;3.3E-7;0;Intelsat
1.00269567;0.0001831;0.0137;157.7804;230.4997;193.5042;0;3.4E-7;0;Intelsat
1.00269599;0.0001819;0.0139;158.0842;230.3265;275.879;0;3.5E-7;0;Intelsat
1.00269753;0.0001812;0.0142;156.9666;230.7199;175.8514;0;3.6E-7;0;Intelsat
1.00269555;0.000171;0.0142;220.4254;167.7608;194.1974;0;3.8E-7;0;Intelsat
1.00270013;0.0001719;0.0134;220.3118;167.944;152.8488;0;4.1E-7;0;Intelsat
1.00270027;0.0001716;0.0135;220.2291;167.6119;179.1963;0;4.1E-7;0;Intelsat
1.00270367;0.0001722;0.0122;220.3098;166.0704;157.5428;0;4.3E-7;0;Intelsat
1.0027039;0.0001722;0.0122;220.1732;165.8534;183.8132;0;4.3E-7;0;Intelsat
1.00272547;0.0001728;0.011;222.8631;168.2834;75.8346;0;4.4E-7;0;Intelsat
1.00272258;0.0001768;0.0104;220.899;170.8349;176.9811;0;4.5E-7;0;Intelsat
1.00272376;0.0001762;0.0104;221.1679;170.3229;206.0126;0;4.5E-7;0;Intelsat
1.00272524;0.0001761;0.0096;221.7048;169.1662;305.2747;0;4.5E-7;0;Intelsat
1.00274606;0.0001781;0.0151;35.0876;354.5899;176.0634;0;4.6E-7;0;Intelsat
1.0027465;0.0001794;0.0152;38.3388;351.7019;206.0579;0;4.6E-7;0;Intelsat
1.00274715;0.0001806;0.0015;174.8719;215.0435;38.4652;0;4.5E-7;0;Intelsat
1.00269984;0.0001817;0.0148;27.5141;353.32;151.1976;0;4.6E-7;0;Intelsat
1.0027005;0.0001824;0.0041;63.8474;316.586;217.3892;0;4.5E-7;0;Intelsat
1.00270258;0.0001857;0.007;66.5813;314.973;183.5751;0;4.3E-7;0;Intelsat
1.00270276;0.0001865;0.0066;162.7186;219.016;220.6152;0;4.2E-7;0;Intelsat
1.00270305;0.0001872;0.0071;161.8829;219.756;266.5576;0;4.2E-7;0;Intelsat
1.00271546;0.0001864;0.0167;259.8486;125.2707;287.6424;0;4.2E-7;0;Intelsat
1.00270235;0.0001798;0.0173;313.3808;69.4138;157.2361;0;4.0E-7;0;Intelsat
1.0027023;0.000181;0.0174;275.5623;107.7165;206.1906;0;3.9E-7;0;Intelsat
1.0027006;0.0001913;0.0098;272.6183;114.6009;270.651;0;3.9E-7;0;Intelsat
1.00270394;0.0001892;0.0098;260.2143;126.0577;223.7118;0;3.6E-7;0;Intelsat
1.00270395;0.0001915;0.0082;265.6232;121.8212;276.1458;0;3.6E-7;0;Intelsat
1.0027067;0.0001905;0.0109;259.9298;126.4853;226.9937;0;3.3E-7;0;Intelsat
1.00268728;0.0001962;0.0061;267.7418;122.3572;282.6829;0;3.3E-7;0;Intelsat
1.00269033;0.0002011;0.0038;305.0313;86.3715;165.7788;0;3.1E-7;0;Intelsat
1.00269037;0.0002017;0.0044;325.5884;66.6853;209.2416;0;3.0E-7;0;Intelsat
1.00269088;0.0002027;0.0148;35.8209;357.3215;279.8461;0;3.0E-7;0;Intelsat
1.00269313;0.0002097;0.0161;41.7649;354.1687;201.5798;0;2.9E-7;0;Intelsat
1.00269661;0.000216;0.0173;44.6475;354.5989;202.3856;0;2.8E-7;0;Intelsat
1.00272547;0.0002198;0.0109;43.5569;355.4885;213.4128;0;2.8E-7;0;Intelsat
1.00271644;0.0002286;0.0126;268.7902;140.4402;134.7598;0;2.9E-7;0;Intelsat
1.00273513;0.0002283;0.0143;281.7902;129.9173;159.8371;0;3.0E-7;0;Intelsat
1.00273543;0.0002284;0.0144;282.2394;129.5616;184.6316;0;2.9E-7;0;Intelsat
