MEAN_MOTION;ECCENTRICITY;INCLINATION;RA_OF_ASC_NODE;ARG_OF_PERICENTER;MEAN_ANOMALY;BSTAR;MEAN_MOTION_DOT;MEAN_MOTION_DDOT;TYPE
14.3421712;0.0002362;86.4011;21.1248;85.3255;274.821;1.8183E-5;7.1E-7;0;Iridium
14.34217194;0.000236;86.4012;20.9209;85.291;274.8555;1.8304E-5;7.1E-7;0;Iridium
14.34217194;0.000236;86.4012;20.9209;85.291;274.8555;1.8304E-5;7.1E-7;0;Iridium
14.34217218;0.0002362;86.4013;20.717;85.1506;274.996;1.6029E-5;6.5E-7;0;Iridium
14.34217279;0.0002362;86.4013;20.5131;84.8283;275.3182;1.6181E-5;6.5E-7;0;Iridium
14.34217304;0.0002362;86.4014;20.3092;84.7482;275.3984;1.4232E-5;6.0E-7;0;Iridium
14.34217308;0.0002361;86.4015;20.1054;84.4496;275.6969;1.1897E-5;5.3E-7;0;Iridium
14.34217361;0.000236;86.4015;19.9306;84.5475;275.599;1.2581E-5;5.5E-7;0;Iridium
14.34217457;0.0002355;86.4015;19.6975;84.57;275.5764;1.4314E-5;6.0E-7;0;Iridium
14.34217524;0.0002353;86.4016;19.3188;84.4817;275.6647;1.4954E-5;6.2E-7;0;Iridium
14.34217589;0.0002351;86.4017;19.0858;84.1932;275.9532;1.5022E-5;6.2E-7;0;Iridium
14.34217705;0.0002349;86.4017;18.8235;84.1608;275.9856;1.9001E-5;7.3E-7;0;Iridium
14.34217705;0.0002349;86.4017;18.8235;84.1608;275.9856;1.9001E-5;7.3E-7;0;Iridium
14.34217731;0.0002354;86.4018;18.6488;84.0136;276.1328;1.9092E-5;7.3E-7;0;Iridium
14.34217781;0.0002345;86.4018;18.4448;83.716;276.4303;2.026E-5;7.7E-7;0;Iridium
14.34217842;0.0002346;86.4019;18.2118;83.4142;276.732;2.1555E-5;8.0E-7;0;Iridium
14.34217881;0.0002343;86.402;17.8039;83.1992;276.947;1.9806E-5;7.5E-7;0;Iridium
14.34217932;0.0002354;86.402;17.5418;82.8536;277.2927;2.0623E-5;7.8E-7;0;Iridium
14.34217943;0.0002355;86.402;17.5127;82.6257;277.5206;2.084E-5;7.8E-7;0;Iridium
14.34217944;0.0002358;86.402;17.4253;82.2934;277.853;1.7875E-5;7.0E-7;0;Iridium
14.34218052;0.0002356;86.4021;17.134;82.4688;277.6776;2.1718E-5;8.1E-7;0;Iridium
14.34218129;0.0002349;86.4021;16.9593;82.2495;277.8967;2.2704E-5;8.3E-7;0;Iridium
14.34218229;0.0002346;86.4021;16.6972;82.1081;278.0381;2.4912E-5;9.0E-7;0;Iridium
14.34218229;0.0002346;86.4021;16.6972;82.1081;278.0381;2.4912E-5;9.0E-7;0;Iridium
14.3421824;0.000234;86.4021;16.5516;82.0806;278.0655;2.0967E-5;7.8E-7;0;Iridium
14.34218358;0.0002336;86.4021;16.2894;81.9317;278.2143;2.4588E-5;8.9E-7;0;Iridium
14.34218362;0.0002336;86.4021;16.2603;81.8968;278.2493;2.4046E-5;8.7E-7;0;Iridium
14.34218404;0.0002332;86.4022;16.1147;81.873;278.273;2.3545E-5;8.6E-7;0;Iridium
14.34218403;0.0002325;86.4022;15.8526;81.6783;278.4676;1.7496E-5;6.9E-7;0;Iridium
14.34218401;0.0002321;86.4022;15.707;81.5048;278.641;1.3081E-5;5.6E-7;0;Iridium
14.34218457;0.0002316;86.4022;15.4449;81.3388;278.807;1.2144E-5;5.4E-7;0;Iridium
14.34218517;0.0002309;86.4022;15.2993;81.3033;278.8424;1.3697E-5;5.8E-7;0;Iridium
14.34218517;0.0002309;86.4022;15.2993;81.3033;278.8424;1.3697E-5;5.8E-7;0;Iridium
14.34218589;0.0002296;86.4023;14.8916;81.0682;279.0773;1.1259E-5;5.1E-7;0;Iridium
14.34218661;0.000229;86.4023;14.746;81.049;279.0965;1.4455E-5;6.0E-7;0;Iridium
14.34218716;0.0002293;86.4024;14.6004;80.8566;279.2889;1.606E-5;6.5E-7;0;Iridium
14.34218783;0.0002286;86.4024;14.4548;80.8872;279.2583;1.7443E-5;6.9E-7;0;Iridium
14.34218895;0.0002281;86.4024;14.1927;80.7558;279.3895;2.0736E-5;7.8E-7;0;Iridium
14.34218919;0.0002277;86.4024;14.0471;80.657;279.4883;1.9076E-5;7.3E-7;0;Iridium
14.34218949;0.000227;86.4025;13.785;80.7028;279.4425;1.7444E-5;6.9E-7;0;Iridium
14.34218931;0.0002269;86.4025;13.6394;80.6019;279.5434;1.4052E-5;5.9E-7;0;Iridium
14.34218967;0.0002274;86.4025;13.3773;80.4009;279.7444;1.3075E-5;5.6E-7;0;Iridium
14.34219012;0.0002267;86.4025;13.2026;80.4944;279.6508;1.4352E-5;6.0E-7;0;Iridium
14.34219098;0.0002261;86.4025;12.9405;80.2766;279.8685;1.7898E-5;7.0E-7;0;Iridium
14.34219153;0.0002253;86.4025;12.7949;80.3782;279.7668;1.9128E-5;7.3E-7;0;Iridium
14.34219251;0.0002247;86.4025;12.5328;80.1272;280.0178;2.2151E-5;8.2E-7;0;Iridium
