MEAN_MOTION;ECCENTRICITY;INCLINATION;RA_OF_ASC_NODE;ARG_OF_PERICENTER;MEAN_ANOMALY;BSTAR;MEAN_MOTION_DOT;MEAN_MOTION_DDOT;TYPE
1.91595632;0.0003348;53.2076;131.3856;290.5497;34.9317;0;1.0E-7;0;Navigation
1.91595607;0.0003387;53.2081;131.3406;290.6553;135.9574;0;1.7E-7;0;Navigation
1.91595607;0.0003387;53.2081;131.3406;290.6553;135.9574;0;1.7E-7;0;Navigation
1.91595607;0.0003387;53.2081;131.3406;290.6553;135.9574;0;1.7E-7;0;Navigation
1.9159561;0.0003415;53.2089;131.2646;290.7786;82.4095;0;2.8E-7;0;Navigation
1.9159561;0.0003415;53.2089;131.2646;290.7786;82.4095;0;2.8E-7;0;Navigation
1.9159561;0.0003415;53.2089;131.2646;290.7786;82.4095;0;2.8E-7;0;Navigation
1.9159561;0.0003415;53.2089;131.2646;290.7786;82.4095;0;2.8E-7;0;Navigation
1.9159561;0.0003415;53.2089;131.2646;290.7786;82.4095;0;2.8E-7;0;Navigation
1.91595649;0.0003483;53.2102;131.1467;291.1592;72.6874;0;1.4E-7;0;Navigation
1.91595641;0.0003561;53.2104;131.1219;291.4244;164.7117;0;7.0E-8;0;Navigation
1.91595669;0.0003569;53.2109;131.0858;291.426;103.4681;0;-5.0E-8;0;Navigation
1.91595697;0.0003589;53.2113;131.0479;291.456;73.3269;0;-1.5E-7;0;Navigation
1.91595697;0.0003589;53.2113;131.0479;291.456;73.3269;0;-1.5E-7;0;Navigation
1.91595717;0.0003592;53.2116;131.0256;291.4201;120.4369;0;-2.0E-7;0;Navigation
1.91595726;0.0003641;53.2119;130.9999;291.5513;228.4916;0;-2.3E-7;0;Navigation
1.91595732;0.000365;53.212;130.9897;291.5766;55.5601;0;-2.3E-7;0;Navigation
1.91595745;0.0003665;53.2123;130.9687;291.5902;79.1853;0;-2.3E-7;0;Navigation
1.91595771;0.00037;53.2128;130.9235;291.6247;185.4398;0;-1.6E-7;0;Navigation
1.91595788;0.0003728;53.2133;130.8868;291.7471;135.3455;0;-6.0E-8;0;Navigation
1.91595794;0.0003741;53.2135;130.8709;291.818;66.4515;0;-1.0E-8;0;Navigation
1.915958;0.0003753;53.2137;130.8511;291.902;67.844;0;6.0E-8;0;Navigation
1.91595807;0.0003768;53.2141;130.8215;291.981;247.0792;0;1.6E-7;0;Navigation
1.91595807;0.0003768;53.2141;130.8215;291.981;247.0792;0;1.6E-7;0;Navigation
1.91595807;0.0003768;53.2141;130.8215;291.981;247.0792;0;1.6E-7;0;Navigation
1.91595804;0.0003824;53.2152;130.7229;292.409;248.2468;0;4.5E-7;0;Navigation
1.91595799;0.000383;53.2153;130.7131;292.482;66.8434;0;4.7E-7;0;Navigation
1.91595781;0.0003853;53.2159;130.6693;292.6125;146.5841;0;5.2E-7;0;Navigation
1.9159576;0.0003876;53.2163;130.6323;292.8379;102.9431;0;5.4E-7;0;Navigation
