MEAN_MOTION;ECCENTRICITY;INCLINATION;RA_OF_ASC_NODE;ARG_OF_PERICENTER;MEAN_ANOMALY;BSTAR;MEAN_MOTION_DOT;MEAN_MOTION_DDOT;TYPE
14.3280134;0.0001606;44.9956;147.1249;311.2519;214.2643;7.7626E-5;7.3E-7;0;Orbcomm
14.32801743;0.0001576;44.9955;142.5393;313.8951;207.0542;7.3602E-5;6.2E-7;0;Orbcomm
14.32802241;0.0001553;44.9955;138.2975;316.2869;182.5134;7.9393E-5;7.8E-7;0;Orbcomm
14.32802315;0.0001548;44.9955;137.6272;316.7064;198.1797;7.9925E-5;7.9E-7;0;Orbcomm
14.32802732;0.0001516;44.9955;133.3636;319.2407;197.3225;8.4476E-5;9.2E-7;0;Orbcomm
14.32802732;0.0001516;44.9955;133.3636;319.2407;197.3225;8.4476E-5;9.2E-7;0;Orbcomm
14.32803099;0.000148;44.9955;129.155;321.7346;136.1644;8.7412E-5;1.0E-6;0;Orbcomm
14.32803401;0.0001438;44.9955;124.5675;324.6533;130.7707;8.5637E-5;9.5E-7;0;Orbcomm
14.32803404;0.0001439;44.9955;124.2215;324.9217;150.4504;8.4647E-5;9.2E-7;0;Orbcomm
14.32803667;0.0001388;44.9955;119.6011;328.2138;180.743;7.9081E-5;7.7E-7;0;Orbcomm
14.32803899;0.0001349;44.9956;115.0456;331.3332;140.0361;7.0269E-5;5.3E-7;0;Orbcomm
14.32804501;0.0001242;44.9956;105.5212;338.609;151.4017;5.331E-5;6.0E-8;0;Orbcomm
14.3280492;0.0001196;44.9957;100.9332;342.2245;145.7734;5.4769E-5;1.0E-7;0;Orbcomm
14.32805223;0.0001154;44.9957;97.7319;344.5321;58.541;5.8427E-5;2.0E-7;0;Orbcomm
14.3280544;0.0001146;44.9957;96.3452;346.2574;139.6364;6.4794E-5;3.8E-7;0;Orbcomm
14.32805969;0.0001079;44.9957;91.7283;350.0176;165.4057;7.6518E-5;7.0E-7;0;Orbcomm
14.3280616;0.0001061;44.9958;89.5009;352.081;89.1042;7.9221E-5;7.7E-7;0;Orbcomm
