MEAN_MOTION;ECCENTRICITY;INCLINATION;RA_OF_ASC_NODE;ARG_OF_PERICENTER;MEAN_ANOMALY;BSTAR;MEAN_MOTION_DOT;MEAN_MOTION_DDOT;TYPE
1.0027102;0.0008379;0.0747;108.0984;135.4372;29.9349;0;-1.09E-6;0;Weather
1.0027102;0.0008379;0.0747;108.0984;135.4372;29.9349;0;-1.09E-6;0;Weather
1.00271023;0.0008383;0.0748;108.0769;135.4839;45.0499;0;-1.09E-6;0;Weather
1.00270947;0.00083;0.0773;107.8566;135.7111;30.7533;0;-1.13E-6;0;Weather
1.00270943;0.0008295;0.0774;107.8664;135.6835;47.8342;0;-1.13E-6;0;Weather
1.00270888;0.0008204;0.0799;107.6307;135.8024;29.7077;0;-1.16E-6;0;Weather
1.00270886;0.0008199;0.0801;107.6221;135.7836;50.8005;0;-1.16E-6;0;Weather
1.00270874;0.0008098;0.0826;107.3448;135.8321;35.2307;0;-1.18E-6;0;Weather
1.00270874;0.0008098;0.0826;107.3448;135.8321;35.2307;0;-1.18E-6;0;Weather
1.00271489;0.0008588;0.0818;109.4309;133.4924;239.0233;0;-1.18E-6;0;Weather
1.00270906;0.0008007;0.0853;107.0284;135.8645;29.7443;0;-1.19E-6;0;Weather
1.00270906;0.0008007;0.0853;107.0284;135.8645;29.7443;0;-1.19E-6;0;Weather
1.00270909;0.0008;0.0854;106.9831;135.86;56.9528;0;-1.18E-6;0;Weather
1.00270975;0.0007911;0.0878;106.6945;135.8305;9.8652;0;-1.19E-6;0;Weather
1.00271093;0.0007813;0.0904;106.3665;135.6395;37.6976;0;-1.18E-6;0;Weather
1.00271093;0.0007813;0.0904;106.3665;135.6395;37.6976;0;-1.18E-6;0;Weather
1.00271093;0.0007798;0.0909;107.031;134.9134;63.4462;0;-1.17E-6;0;Weather
1.0027128;0.0007721;0.0933;106.6958;134.7797;52.8221;0;-1.16E-6;0;Weather
1.00271402;0.000765;0.0954;106.445;134.5079;18.2076;0;-1.16E-6;0;Weather
1.00271409;0.0007647;0.0955;106.4152;134.4894;49.0413;0;-1.15E-6;0;Weather
1.00271554;0.0007586;0.0976;106.1594;134.21;9.1436;0;-1.15E-6;0;Weather
1.00271576;0.0007591;0.098;106.0545;134.2909;73.4566;0;-1.14E-6;0;Weather
1.00271706;0.0007542;0.0998;105.8458;133.9453;15.9809;0;-1.14E-6;0;Weather
1.00271706;0.0007542;0.0998;105.8458;133.9453;15.9809;0;-1.14E-6;0;Weather
1.00271746;0.0007533;0.1007;105.7013;133.9611;154.7013;0;-1.13E-6;0;Weather
1.00271824;0.0007509;0.102;105.5602;133.6725;22.0022;0;-1.13E-6;0;Weather
1.00271824;0.0007509;0.102;105.5602;133.6725;22.0022;0;-1.13E-6;0;Weather
1.00271859;0.0007506;0.1028;105.4515;133.7099;157.9968;0;-1.12E-6;0;Weather
1.00271925;0.0007502;0.1042;105.323;133.4897;31.57;0;-1.12E-6;0;Weather
1.00271948;0.0007499;0.105;105.2724;133.4541;161.1929;0;-1.12E-6;0;Weather
1.00272;0.0007501;0.1064;105.1624;133.2556;47.6428;0;-1.11E-6;0;Weather
