MEAN_MOTION;ECCENTRICITY;INCLINATION;RA_OF_ASC_NODE;ARG_OF_PERICENTER;MEAN_ANOMALY;BSTAR;MEAN_MOTION_DOT;MEAN_MOTION_DDOT;TYPE
15.52804771;0.0003983;51.6417;105.4429;107.9559;226.6589;1.2466E-5;3.14E-6;0;Human Spaceflight
15.52804895;0.0003983;51.6417;105.0492;108.2501;308.8714;1.2466E-5;3.14E-6;0;Human Spaceflight
15.52811224;0.0003862;51.6407;103.7275;107.3458;1.3048;4.3102E-5;2.249E-5;0;Human Spaceflight
15.52809294;0.0003861;51.641;102.418;110.0976;26.7532;2.4342E-5;1.064E-5;0;Human Spaceflight
15.52810071;0.0004009;51.642;101.7677;109.9912;38.2676;2.1885E-5;9.09E-6;0;Human Spaceflight
15.52810993;0.0004008;51.642;100.305;110.8562;241.4576;2.2208E-5;9.29E-6;0;Human Spaceflight
15.52811995;0.0003974;51.6421;99.3024;112.3476;286.4746;2.3313E-5;9.99E-6;0;Human Spaceflight
15.52814336;0.000394;51.6419;98.2908;109.5337;350.1806;2.8181E-5;1.306E-5;0;Human Spaceflight
15.52817182;0.0003931;51.6419;96.951;112.5947;49.3789;3.5916E-5;1.795E-5;0;Human Spaceflight
15.52818701;0.0003937;51.6419;95.1196;113.4139;307.5747;3.5338E-5;1.759E-5;0;Human Spaceflight
15.52819726;0.0003904;51.6418;94.125;113.4318;345.8943;3.5673E-5;1.78E-5;0;Human Spaceflight
15.52820262;0.0003918;51.642;93.4885;113.7136;340.8176;3.5792E-5;1.788E-5;0;Human Spaceflight
15.52821106;0.0003889;51.6416;92.7623;113.7797;78.7175;3.674E-5;1.848E-5;0;Human Spaceflight
15.52822916;0.0003889;51.6416;91.8453;114.4645;28.5746;3.9742E-5;2.037E-5;0;Human Spaceflight
15.52824611;0.0003858;51.6419;90.3198;114.5968;306.5471;4.1104E-5;2.124E-5;0;Human Spaceflight
15.5282625;0.0003893;51.6418;88.6899;115.2244;334.9294;3.9827E-5;2.043E-5;0;Human Spaceflight
15.52826587;0.0003883;51.6414;88.4248;115.8864;274.3734;4.0138E-5;2.063E-5;0;Human Spaceflight
15.52827382;0.0003839;51.6413;87.7421;116.4182;321.5627;4.0836E-5;2.107E-5;0;Human Spaceflight
15.5282829;0.0003849;51.6415;87.0507;116.2646;19.2183;4.1294E-5;2.136E-5;0;Human Spaceflight
15.52829944;0.0003847;51.6417;85.5784;118.6201;232.1104;4.1457E-5;2.146E-5;0;Human Spaceflight
15.52829615;0.0003847;51.6417;85.1893;118.914;309.1586;3.9078E-5;1.996E-5;0;Human Spaceflight
15.52830452;0.0003847;51.6417;84.222;119.6348;315.5399;3.8256E-5;1.944E-5;0;Human Spaceflight
15.52832029;0.0003848;51.6415;83.2211;120.3172;0.4094;4.0546E-5;2.089E-5;0;Human Spaceflight
15.52834049;0.0003848;51.6415;82.2365;121.0505;26.255;4.3779E-5;2.294E-5;0;Human Spaceflight
15.528342;0.0003837;51.6415;81.9177;120.5763;25.3799;4.3105E-5;2.251E-5;0;Human Spaceflight
15.52836273;0.0003837;51.6415;80.3883;121.7146;303.0582;4.4433E-5;2.335E-5;0;Human Spaceflight
15.52836141;0.0003927;51.6412;79.084;122.2016;328.9413;3.9729E-5;2.038E-5;0;Human Spaceflight
15.52837473;0.0003927;51.6412;78.5033;122.6312;261.1884;4.216E-5;2.191E-5;0;Human Spaceflight
15.52837207;0.0003927;51.6412;77.7523;123.5521;24.7936;3.9461E-5;2.021E-5;0;Human Spaceflight
15.52834002;0.0003922;51.64;77.12;125.1463;17.779;1.3997E-5;4.11E-6;0;Human Spaceflight
15.5283616;0.00039;51.641;75.2566;124.5658;310.7726;2.5206E-5;1.12E-5;0;Human Spaceflight
15.52838047;0.0003911;51.6401;73.9523;126.1866;336.7655;3.2609E-5;1.588E-5;0;Human Spaceflight
15.52839038;0.000391;51.6401;73.2278;126.7249;70.486;3.2394E-5;1.574E-5;0;Human Spaceflight
15.52839047;0.000391;51.6401;72.956;126.929;15.7007;3.1786E-5;1.536E-5;0;Human Spaceflight
15.52839527;0.0003828;51.6407;72.3221;123.5852;13.8449;3.8456E-5;1.958E-5;0;Human Spaceflight
15.52842481;0.000377;51.6409;70.7878;124.7584;296.9445;4.9127E-5;2.633E-5;0;Human Spaceflight
15.5284188;0.0003844;51.6411;70.112;126.6458;332.2994;3.5097E-5;1.745E-5;0;Human Spaceflight
15.52841942;0.0003848;51.6415;69.1313;128.3289;351.5774;3.0428E-5;1.45E-5;0;Human Spaceflight
15.52843235;0.0003841;51.6411;68.4392;128.7086;50.5877;3.4583E-5;1.713E-5;0;Human Spaceflight
15.52842823;0.0003842;51.6411;67.8596;129.1413;341.537;2.9954E-5;1.42E-5;0;Human Spaceflight
15.52657958;0.0003541;51.64;66.0158;163.6942;198.3167;0;-4.71E-6;0;Human Spaceflight
15.52376846;0.000305;51.6399;65.3155;131.6307;311.307;-0.008171;-0.00478584;0;Human Spaceflight
15.52294152;0.0003657;51.6362;64.4008;146.0534;252.6576;-0.0062017;-0.00367384;0;Human Spaceflight
15.52425742;0.0002459;51.6443;63.6267;113.3867;73.3736;4.433E-5;2.291E-5;0;Human Spaceflight
15.5243372;0.000214;51.6455;62.7461;117.1579;339.5213;-0.00052235;-0.00032849;0;Human Spaceflight
15.52436074;0.0002215;51.6454;62.7191;117.6181;9.0449;-0.00037103;-0.00023498;0;Human Spaceflight
15.52424317;0.0002214;51.6454;60.8547;114.5207;308.624;-0.00026388;-0.00016854;0;Human Spaceflight
15.52429965;0.0002297;51.6451;60.2374;111.7591;285.5034;-0.00010542;-7.024E-5;0;Human Spaceflight
15.52410797;0.0002277;51.6398;59.5306;92.347;21.5059;-0.00010542;-7.019E-5;0;Human Spaceflight
15.52427676;0.0002323;51.644;58.8229;111.2115;78.541;-3.2981E-5;-2.521E-5;0;Human Spaceflight
15.52430862;0.0002338;51.6445;57.5845;110.4745;32.6783;-5.2829E-9;-4.69E-6;0;Human Spaceflight
15.5242597;0.0002468;51.643;55.4021;104.2521;343.5538;-0.00037103;-0.00023491;0;Human Spaceflight
15.52434978;0.0002291;51.644;54.7312;109.4063;1.2476;2.3315E-5;9.83E-6;0;Human Spaceflight
15.52433882;0.0002241;51.6442;53.7592;111.0625;12.9757;1.4265E-5;4.19E-6;0;Human Spaceflight
15.52438395;0.0002432;51.6444;53.4344;132.1459;4.5952;1.4265E-5;4.19E-6;0;Human Spaceflight
15.52444542;0.000237;51.6441;52.8251;130.4748;332.9641;1.4265E-5;4.2E-6;0;Human Spaceflight
15.52435476;0.0002172;51.6444;52.1752;109.0046;357.8954;1.4265E-5;4.2E-6;0;Human Spaceflight
15.5243842;0.0002289;51.6447;50.5938;116.2838;328.845;2.7797E-5;1.262E-5;0;Human Spaceflight
15.52438751;0.0002295;51.6442;49.6365;117.4715;324.4137;2.6631E-5;1.19E-5;0;Human Spaceflight
15.52440395;0.0002323;51.6441;48.3009;118.8282;25.5797;2.9431E-5;1.364E-5;0;Human Spaceflight
15.52442031;0.0002381;51.6444;47.9791;119.1241;28.109;3.4429E-5;1.675E-5;0;Human Spaceflight
15.52442802;0.0002381;51.6444;47.6598;119.3621;26.8626;3.6365E-5;1.796E-5;0;Human Spaceflight
15.52444256;0.0002381;51.6444;46.1312;120.5;304.3948;3.6582E-5;1.81E-5;0;Human Spaceflight
15.52444503;0.0002424;51.6442;45.4658;121.7369;331.6962;3.5547E-5;1.745E-5;0;Human Spaceflight
15.52445384;0.0002432;51.6438;43.8195;122.5848;22.272;3.3936E-5;1.645E-5;0;Human Spaceflight
