MEAN_MOTION;ECCENTRICITY;INCLINATION;RA_OF_ASC_NODE;ARG_OF_PERICENTER;MEAN_ANOMALY;BSTAR;MEAN_MOTION_DOT;MEAN_MOTION_DDOT;TYPE
1.88156408;0.0016726;54.3815;143.8837;34.7217;325.4465;0;-1.0E-8;0;Navigation
1.88156404;0.0016716;54.3816;143.8651;34.695;325.4739;0;0;0;Navigation
1.88156413;0.0016714;54.3818;143.8464;34.6644;325.5057;0;3.0E-8;0;Navigation
1.88156396;0.0016707;54.3819;143.8277;34.5843;325.5875;0;6.0E-8;0;Navigation
1.88156424;0.0016699;54.3824;143.7717;34.4813;325.698;0;1.8E-7;0;Navigation
1.8815641;0.0016704;54.3826;143.753;34.5824;325.5999;0;2.1E-7;0;Navigation
1.88156424;0.0016703;54.3829;143.7156;34.5545;325.6322;0;2.5E-7;0;Navigation
1.88156441;0.0016694;54.3833;143.6596;34.4346;325.7541;0;2.0E-7;0;Navigation
1.88156463;0.0016691;54.3835;143.6223;34.3997;325.7874;0;1.1E-7;0;Navigation
1.88156482;0.0016687;54.3837;143.6036;34.3477;325.8377;0;4.0E-8;0;Navigation
1.88156498;0.0016684;54.384;143.5662;34.3384;325.8431;0;-9.0E-8;0;Navigation
1.88156511;0.0016677;54.3841;143.5475;34.2963;325.883;0;-1.5E-7;0;Navigation
1.88156571;0.0016663;54.3848;143.4729;34.2179;325.9553;0;-2.9E-7;0;Navigation
1.88156586;0.0016659;54.3853;143.4169;34.3405;325.8337;0;-2.2E-7;0;Navigation
1.88156579;0.0016655;54.3855;143.3983;34.2302;325.9449;0;-1.7E-7;0;Navigation
1.88156665;0.0016638;54.3857;143.3797;34.1273;326.0492;0;-1.0E-7;0;Navigation
1.88156655;0.0016634;54.3861;143.3237;34.0957;326.0878;0;1.3E-7;0;Navigation
1.88156654;0.0016635;54.3862;143.305;34.0862;326.1;0;2.0E-7;0;Navigation
1.88156659;0.0016634;54.3864;143.2863;34.0612;326.1278;0;2.8E-7;0;Navigation
1.88156672;0.0016635;54.3868;143.2303;34.0522;326.1442;0;4.6E-7;0;Navigation
1.88156643;0.0016635;54.3872;143.193;33.9743;326.2251;0;5.3E-7;0;Navigation
1.8815659;0.0016637;54.3877;143.1371;33.8312;326.3686;0;5.6E-7;0;Navigation
1.88156547;0.0016634;54.3882;143.0811;33.7148;326.4804;0;5.3E-7;0;Navigation
1.88156503;0.0016627;54.3884;143.0624;33.8782;326.3151;0;5.1E-7;0;Navigation
1.88156493;0.0016634;54.3888;143.0251;33.8735;326.3146;0;4.6E-7;0;Navigation
1.88156486;0.0016635;54.3892;142.9878;33.8435;326.3393;0;4.2E-7;0;Navigation
1.88156451;0.0016635;54.3911;142.8011;33.8408;326.3433;0;6.3E-7;0;Navigation
1.88156466;0.0016637;54.3917;142.7451;33.8332;326.354;0;6.8E-7;0;Navigation
1.88156493;0.0016633;54.392;142.7078;33.8282;326.3581;0;6.4E-7;0;Navigation
1.881565;0.0016633;54.3924;142.6704;33.8102;326.3727;0;5.5E-7;0;Navigation
1.8815655;0.0016627;54.3933;142.5772;33.7107;326.457;0;2.2E-7;0;Navigation
1.8815656;0.0016626;54.3935;142.5585;33.7104;326.4545;0;1.7E-7;0;Navigation
1.88156599;0.0016621;54.3939;142.5211;33.6902;326.47;0;1.2E-7;0;Navigation
