MEAN_MOTION;ECCENTRICITY;INCLINATION;RA_OF_ASC_NODE;ARG_OF_PERICENTER;MEAN_ANOMALY;BSTAR;MEAN_MOTION_DOT;MEAN_MOTION_DDOT;TYPE
14.41548444;0.0003356;98.6462;121.2885;195.8877;164.2207;1.7647E-5;1.2E-7;0;Orbcomm
14.41548544;0.0003408;98.646;122.1315;193.2355;166.8745;1.8488E-5;1.5E-7;0;Orbcomm
14.41548526;0.000341;98.646;122.272;192.9175;167.1926;1.7435E-5;1.1E-7;0;Orbcomm
14.41548667;0.0003472;98.6458;123.3257;189.6501;170.4621;1.9206E-5;1.7E-7;0;Orbcomm
14.41548775;0.0003525;98.6456;124.1687;187.1264;172.9875;2.0077E-5;2.0E-7;0;Orbcomm
14.41548812;0.0003543;98.6455;124.5199;186.1121;174.0025;2.0903E-5;2.2E-7;0;Orbcomm
14.41548857;0.0003556;98.6455;124.7306;185.5228;174.5922;2.1099E-5;2.3E-7;0;Orbcomm
14.41548955;0.000359;98.6454;125.2223;184.0907;176.0253;2.1655E-5;2.5E-7;0;Orbcomm
14.41549096;0.0003649;98.6452;126.2057;181.1186;178.9995;2.243E-5;2.7E-7;0;Orbcomm
14.41549228;0.0003711;98.645;127.3296;177.8083;182.3122;2.0818E-5;2.2E-7;0;Orbcomm
14.41549321;0.0003771;98.6449;128.3832;174.8521;185.2707;1.8194E-5;1.4E-7;0;Orbcomm
14.41549336;0.0003785;98.6448;128.5939;174.3143;185.8089;1.8056E-5;1.3E-7;0;Orbcomm
14.41549417;0.0003847;98.6446;129.5773;171.5816;188.5438;1.5142E-5;4.0E-8;0;Orbcomm
14.41549481;0.0003865;98.6446;129.8582;170.8943;189.2316;1.5425E-5;5.0E-8;0;Orbcomm
14.41549572;0.0003894;98.6445;130.4201;169.3541;190.7731;1.5515E-5;5.0E-8;0;Orbcomm
14.4154964;0.0003929;98.6444;131.0523;167.5567;192.5719;1.5646E-5;5.0E-8;0;Orbcomm
14.41549694;0.0003948;98.6443;131.3332;166.876;193.2532;1.6473E-5;8.0E-8;0;Orbcomm
14.41549804;0.0004001;98.6441;132.3868;164.1826;195.9488;1.598E-5;6.0E-8;0;Orbcomm
14.41549872;0.0004059;98.6439;133.4403;161.5184;198.6153;1.5083E-5;4.0E-8;0;Orbcomm
14.41549882;0.0004074;98.6439;133.651;160.9858;199.1483;1.5154E-5;4.0E-8;0;Orbcomm
14.4154991;0.0004114;98.6438;134.2831;159.3037;200.8319;1.3226E-5;-3.0E-8;0;Orbcomm
14.41549926;0.000412;98.6437;134.4236;158.8806;201.2554;1.3587E-5;-1.0E-8;0;Orbcomm
14.41549956;0.000414;98.6437;134.8449;157.8085;202.3284;1.3403E-5;-2.0E-8;0;Orbcomm
14.41550042;0.0004167;98.6436;135.3365;156.4585;203.6795;1.4552E-5;2.0E-8;0;Orbcomm
14.41550049;0.0004173;98.6436;135.477;156.0542;204.0841;1.466E-5;2.0E-8;0;Orbcomm
14.41550126;0.0004207;98.6435;136.1091;154.4512;205.6885;1.6309E-5;8.0E-8;0;Orbcomm
14.41550183;0.000424;98.6433;136.6708;153.1565;206.9844;1.7418E-5;1.1E-7;0;Orbcomm
14.41550313;0.0004284;98.6432;137.5136;151.1199;209.0227;1.8978E-5;1.6E-7;0;Orbcomm
14.41550435;0.0004346;98.6429;138.7074;148.1735;211.9717;1.9564E-5;1.8E-7;0;Orbcomm
14.4155045;0.0004351;98.6429;138.8478;147.7441;212.4014;1.927E-5;1.7E-7;0;Orbcomm
14.41550513;0.0004385;98.6428;139.4799;146.1138;214.0331;1.8687E-5;1.5E-7;0;Orbcomm
14.4155056;0.0004404;98.6427;139.9012;145.1342;215.0136;1.8624E-5;1.5E-7;0;Orbcomm
14.41550688;0.0004448;98.6425;140.8843;142.7742;217.3756;1.8737E-5;1.5E-7;0;Orbcomm
14.41550792;0.0004485;98.6423;141.5163;141.1828;218.9683;1.9795E-5;1.9E-7;0;Orbcomm
14.41550856;0.0004499;98.6423;141.9376;140.2243;219.9276;2.0209E-5;2.0E-7;0;Orbcomm
14.41550932;0.0004523;98.6422;142.4291;138.9824;221.1705;1.9793E-5;1.9E-7;0;Orbcomm
14.41550981;0.0004548;98.6421;142.7803;138.1935;221.9602;2.0517E-5;2.1E-7;0;Orbcomm
14.41551086;0.0004576;98.642;143.4122;136.6999;223.455;2.0553E-5;2.1E-7;0;Orbcomm
14.41551097;0.0004584;98.642;143.5527;136.3555;223.7997;2.0427E-5;2.1E-7;0;Orbcomm
14.41551269;0.0004628;98.6418;144.8166;133.3674;226.7901;1.9686E-5;1.9E-7;0;Orbcomm
14.41551304;0.0004632;98.6417;144.9571;133.0536;227.1041;1.9602E-5;1.8E-7;0;Orbcomm
14.41551377;0.0004647;98.6417;145.589;131.5799;228.5788;1.8014E-5;1.3E-7;0;Orbcomm
14.41551484;0.0004673;98.6416;146.221;130.1556;230.0042;1.8961E-5;1.6E-7;0;Orbcomm
14.41551708;0.0004723;98.6413;147.836;126.5344;233.628;1.8678E-5;1.5E-7;0;Orbcomm
14.41551747;0.0004731;98.6413;147.9764;126.2348;233.9278;1.9072E-5;1.7E-7;0;Orbcomm
14.41551863;0.0004758;98.6412;148.8189;124.3341;235.8299;2.0108E-5;2.0E-7;0;Orbcomm
14.415519;0.0004765;98.6411;149.0296;123.8255;236.3388;2.0065E-5;2.0E-7;0;Orbcomm
14.41551964;0.0004784;98.641;149.5913;122.5543;237.6108;1.9373E-5;1.8E-7;0;Orbcomm
14.41552094;0.0004819;98.6408;150.6444;120.028;240.1387;1.9531E-5;1.8E-7;0;Orbcomm
14.41552126;0.0004824;98.6407;150.8551;119.5414;240.6256;2.0139E-5;2.0E-7;0;Orbcomm
14.41552259;0.0004847;98.6406;151.6274;117.7543;242.4138;2.1245E-5;2.4E-7;0;Orbcomm
14.41552326;0.0004855;98.6405;152.0487;116.7579;243.4107;2.1838E-5;2.6E-7;0;Orbcomm
14.41552416;0.0004872;98.6403;152.6805;115.2955;244.8739;2.2031E-5;2.6E-7;0;Orbcomm
14.41552526;0.00049;98.6402;153.4528;113.6941;246.4762;2.2643E-5;2.8E-7;0;Orbcomm
14.41552566;0.0004903;98.6401;153.6634;113.2503;246.9203;2.3383E-5;3.1E-7;0;Orbcomm
14.41552689;0.0004917;98.64;154.6463;111.1146;249.0568;2.2514E-5;2.8E-7;0;Orbcomm
14.41552811;0.0004928;98.6398;155.6993;108.7025;251.4699;2.1504E-5;2.4E-7;0;Orbcomm
14.41552958;0.0004933;98.6396;156.8928;105.9746;254.1986;2.0631E-5;2.2E-7;0;Orbcomm
14.41552998;0.0004933;98.6395;157.1035;105.5226;254.6507;2.0129E-5;2.0E-7;0;Orbcomm
14.41553095;0.0004942;98.6394;157.7353;104.0267;256.1471;1.9847E-5;1.9E-7;0;Orbcomm
14.41553233;0.0004942;98.6392;158.7181;101.8748;258.2995;1.9645E-5;1.8E-7;0;Orbcomm
14.41553246;0.0004942;98.6392;158.9287;101.4465;258.7279;1.9433E-5;1.8E-7;0;Orbcomm
14.4155334;0.0004952;98.6391;159.771;99.5743;260.6006;1.7619E-5;1.2E-7;0;Orbcomm
14.41553442;0.0004954;98.639;160.6134;97.6762;262.4989;1.6939E-5;1.0E-7;0;Orbcomm
14.41553463;0.0004954;98.6389;160.9644;96.9145;263.2607;1.6684E-5;9.0E-8;0;Orbcomm
14.41553499;0.0004952;98.6389;161.1751;96.3188;263.8565;1.6339E-5;8.0E-8;0;Orbcomm
14.41553656;0.0004953;98.6387;162.4386;93.5302;266.6453;1.6497E-5;8.0E-8;0;Orbcomm
14.41553701;0.000495;98.6386;162.7194;92.9338;267.2417;1.6252E-5;7.0E-8;0;Orbcomm
14.41553805;0.0004941;98.6385;163.7723;90.4916;269.6838;1.6721E-5;9.0E-8;0;Orbcomm
14.41553912;0.0004935;98.6384;164.8252;88.1129;272.0625;1.6613E-5;9.0E-8;0;Orbcomm
14.41554015;0.0004928;98.6382;166.0184;85.4772;274.6979;1.6915E-5;1.0E-7;0;Orbcomm
14.41554041;0.0004927;98.6381;166.1588;85.1278;275.0473;1.7131E-5;1.0E-7;0;Orbcomm
14.41554104;0.0004923;98.6381;166.7905;83.6966;276.4784;1.69E-5;1.0E-7;0;Orbcomm
14.41554155;0.0004919;98.638;167.2116;82.6865;277.4882;1.7378E-5;1.1E-7;0;Orbcomm
14.41554261;0.0004908;98.6378;168.0539;80.7935;279.3808;1.808E-5;1.3E-7;0;Orbcomm
14.415543;0.0004905;98.6378;168.2645;80.3007;279.8735;1.8322E-5;1.4E-7;0;Orbcomm
14.41554386;0.0004899;98.6377;168.826;79.0204;281.1535;1.998E-5;2.0E-7;0;Orbcomm
14.41554521;0.0004887;98.6376;169.7384;76.9277;283.2457;2.0423E-5;2.1E-7;0;Orbcomm
14.41554525;0.0004885;98.6375;169.8787;76.5948;283.5785;2.0332E-5;2.1E-7;0;Orbcomm
14.41554542;0.0004879;98.6375;170.0893;76.1537;284.0194;2.0356E-5;2.1E-7;0;Orbcomm
14.41554645;0.0004868;98.6374;170.721;74.7314;285.4413;2.09E-5;2.3E-7;0;Orbcomm
14.41554659;0.0004856;98.6374;171.0719;73.983;286.1893;2.0346E-5;2.1E-7;0;Orbcomm
14.41554705;0.000485;98.6373;171.2825;73.4831;286.689;2.0599E-5;2.2E-7;0;Orbcomm
14.41554774;0.0004842;98.6373;171.7738;72.4176;287.7541;2.0295E-5;2.1E-7;0;Orbcomm
14.41554772;0.0004839;98.6372;171.8439;72.2602;287.9115;1.9982E-5;2.0E-7;0;Orbcomm
14.4155485;0.0004824;98.6372;172.3352;71.1351;289.036;2.0387E-5;2.1E-7;0;Orbcomm
14.41554921;0.0004813;98.6371;172.8967;69.8179;290.3526;1.9432E-5;1.8E-7;0;Orbcomm
14.41555063;0.0004791;98.637;173.8793;67.645;292.5246;1.9437E-5;1.8E-7;0;Orbcomm
14.41555282;0.0004743;98.6368;175.1425;64.8266;295.3414;1.9973E-5;2.0E-7;0;Orbcomm
14.41555313;0.0004739;98.6368;175.2829;64.4625;295.7053;2.0126E-5;2.0E-7;0;Orbcomm
14.41555441;0.0004712;98.6366;176.4058;61.8339;298.3325;1.8795E-5;1.6E-7;0;Orbcomm
14.41555504;0.000469;98.6366;176.8971;60.7245;299.4412;1.8243E-5;1.4E-7;0;Orbcomm
14.41555583;0.0004649;98.6364;177.9497;58.2906;301.8735;1.5893E-5;6.0E-8;0;Orbcomm
14.41555577;0.0004638;98.6364;178.1603;57.8176;302.3461;1.4885E-5;3.0E-8;0;Orbcomm
14.41555652;0.0004618;98.6363;178.5813;56.822;303.3411;1.5636E-5;5.0E-8;0;Orbcomm
14.41555752;0.0004597;98.6362;179.1428;55.4954;304.6668;1.7798E-5;1.2E-7;0;Orbcomm
14.41555822;0.0004583;98.6362;179.4235;54.8121;305.3496;1.8771E-5;1.6E-7;0;Orbcomm
14.41555911;0.0004571;98.6362;179.8445;53.8443;306.3168;1.9555E-5;1.8E-7;0;Orbcomm
14.41555896;0.0004571;98.6361;179.9849;53.4474;306.7135;1.8307E-5;1.4E-7;0;Orbcomm
14.41555991;0.000454;98.636;180.6165;52.0128;308.147;1.986E-5;1.9E-7;0;Orbcomm
14.41556059;0.0004521;98.636;180.9674;51.2084;308.9508;2.1057E-5;2.3E-7;0;Orbcomm
14.41556156;0.0004497;98.6359;181.4586;49.9992;310.159;2.2925E-5;2.9E-7;0;Orbcomm
