MEAN_MOTION;ECCENTRICITY;INCLINATION;RA_OF_ASC_NODE;ARG_OF_PERICENTER;MEAN_ANOMALY;BSTAR;MEAN_MOTION_DOT;MEAN_MOTION_DDOT;TYPE
15.16659588;0.0012752;98.2316;302.9815;190.254;229.4801;2.8448E-5;4.78E-6;0;Weather
15.16660053;0.0012807;98.2315;303.6367;188.1534;286.8434;2.7819E-5;4.66E-6;0;Weather
15.16660587;0.0012844;98.2314;304.1222;186.6497;210.2708;2.8293E-5;4.75E-6;0;Weather
15.16662187;0.0012914;98.2313;305.0571;183.7399;235.2548;3.2357E-5;5.55E-6;0;Weather
15.16662514;0.0012932;98.2313;305.2684;183.1038;218.9661;3.2661E-5;5.61E-6;0;Weather
15.16663493;0.0012998;98.2311;306.1953;180.1942;204.004;3.1191E-5;5.32E-6;0;Weather
15.16664544;0.0013079;98.231;307.2701;176.8001;213.8314;2.9129E-5;4.91E-6;0;Weather
15.16665602;0.0013159;98.2309;308.3436;173.3813;216.9128;2.8493E-5;4.79E-6;0;Weather
15.16666797;0.0013259;98.2306;309.4947;169.7574;250.7795;2.8934E-5;4.88E-6;0;Weather
15.16668639;0.0013374;98.2304;310.7969;165.7168;325.1825;3.2986E-5;5.67E-6;0;Weather
15.16668906;0.0013445;98.2302;311.8705;162.52;328.9761;2.4147E-5;3.94E-6;0;Weather
15.16669353;0.0013473;98.2301;312.2962;161.2462;311.9225;2.3849E-5;3.88E-6;0;Weather
15.16669951;0.0013522;98.23;313.0152;159.0766;331.0505;2.2646E-5;3.65E-6;0;Weather
15.16670508;0.0013556;98.2299;313.7215;156.94;286.8128;2.1743E-5;3.47E-6;0;Weather
15.16671466;0.0013586;98.2299;314.159;155.593;328.8648;2.6909E-5;4.48E-6;0;Weather
15.16671851;0.0013637;98.2297;314.8559;153.4697;236.9921;2.5861E-5;4.28E-6;0;Weather
15.16672115;0.0013664;98.2297;315.2326;152.3106;333.076;2.6138E-5;4.33E-6;0;Weather
15.16672963;0.0013719;98.2296;316.0069;149.9795;270.8233;2.87E-5;4.83E-6;0;Weather
15.16673;0.0013738;98.2296;316.2355;149.291;341.6465;2.7654E-5;4.63E-6;0;Weather
15.16673054;0.0013746;98.2296;316.305;149.0792;331.5136;2.7669E-5;4.63E-6;0;Weather
15.16674011;0.0013794;98.2295;317.0795;146.8149;270.0304;3.0314E-5;5.15E-6;0;Weather
15.16674173;0.0013817;98.2295;317.3789;145.9245;337.2807;2.9393E-5;4.97E-6;0;Weather
15.16674423;0.0013838;98.2295;317.735;144.8903;329.7501;2.8714E-5;4.84E-6;0;Weather
15.16674697;0.0013858;98.2294;318.152;143.6768;268.9948;2.7467E-5;4.59E-6;0;Weather
15.16675029;0.0013883;98.2294;318.4524;142.7815;341.0213;2.7658E-5;4.63E-6;0;Weather
15.16675552;0.0013915;98.2293;319.1607;140.7012;306.6319;2.5825E-5;4.27E-6;0;Weather
15.16675877;0.0013947;98.2293;319.5956;139.4143;336.1667;2.4713E-5;4.05E-6;0;Weather
15.16676834;0.0013989;98.2292;320.366;137.1398;254.4732;2.605E-5;4.31E-6;0;Weather
15.16678052;0.0014073;98.2291;321.6732;133.2711;355.5035;2.6853E-5;4.47E-6;0;Weather
15.16678132;0.0014077;98.2291;321.7441;133.0542;352.1614;2.7012E-5;4.5E-6;0;Weather
15.16678677;0.001414;98.2289;322.8164;129.9294;350.4371;2.4181E-5;3.95E-6;0;Weather
15.16680245;0.0014188;98.2286;323.8069;127.0757;297.1457;2.9795E-5;5.05E-6;0;Weather
15.16680274;0.0014195;98.2286;323.8901;126.8387;356.1729;2.9406E-5;4.97E-6;0;Weather
15.1668189;0.0014235;98.2284;324.9636;123.783;0.3809;3.2447E-5;5.57E-6;0;Weather
15.16682375;0.0014246;98.2283;325.3188;122.7592;348.9048;3.2963E-5;5.67E-6;0;Weather
15.16682948;0.0014259;98.2282;325.742;121.5382;319.6628;3.3017E-5;5.68E-6;0;Weather
15.16683406;0.0014275;98.2282;326.1069;120.484;356.7099;3.2715E-5;5.62E-6;0;Weather
15.16684116;0.0014291;98.228;326.7393;118.666;300.8528;3.2045E-5;5.49E-6;0;Weather
15.16684194;0.0014293;98.228;326.8106;118.4609;299.8806;3.1938E-5;5.47E-6;0;Weather
15.16684513;0.0014316;98.228;327.1795;117.3983;357.1658;3.0923E-5;5.27E-6;0;Weather
15.16685523;0.0014346;98.2278;328.0241;114.9611;289.3251;3.1177E-5;5.32E-6;0;Weather
15.16686647;0.0014383;98.2276;329.0292;112.087;310.1669;3.0671E-5;5.22E-6;0;Weather
15.16687796;0.0014405;98.2275;329.6118;110.4311;3.254;3.4836E-5;6.04E-6;0;Weather
15.16688827;0.0014427;98.2274;330.3873;108.2109;308.3122;3.5438E-5;6.16E-6;0;Weather
15.16689523;0.001443;98.2273;330.7566;107.1677;7.7957;3.734E-5;6.53E-6;0;Weather
15.16690804;0.0014445;98.2272;331.4603;105.1832;310.8007;3.9057E-5;6.87E-6;0;Weather
15.16692014;0.0014451;98.2271;332.0461;103.5035;20.7828;4.1687E-5;7.39E-6;0;Weather
15.16692629;0.0014462;98.2271;332.6045;101.9148;312.4456;3.9319E-5;6.92E-6;0;Weather
15.1669362;0.0014469;98.227;333.2495;100.0661;320.4735;3.8994E-5;6.86E-6;0;Weather
15.16694167;0.0014483;98.227;333.678;98.8382;318.1539;3.8053E-5;6.68E-6;0;Weather
15.16695525;0.0014508;98.2269;334.6794;95.9632;320.6477;3.711E-5;6.49E-6;0;Weather
15.16695491;0.001451;98.2268;334.751;95.7608;321.155;3.617E-5;6.31E-6;0;Weather
15.1669648;0.0014523;98.2267;335.7531;92.9154;327.3306;3.3654E-5;5.81E-6;0;Weather
15.16696799;0.0014524;98.2266;336.1211;91.8771;20.5635;3.2276E-5;5.54E-6;0;Weather
15.16697852;0.0014528;98.2266;336.8251;89.8838;325.7793;3.3605E-5;5.8E-6;0;Weather
15.16698419;0.0014518;98.2264;337.6873;87.4544;347.9892;2.9114E-5;4.92E-6;0;Weather
15.16699752;0.0014498;98.2262;338.8237;84.2369;310.7615;2.7531E-5;4.61E-6;0;Weather
15.16700861;0.0014482;98.226;339.8284;81.3448;330.7405;2.628E-5;4.36E-6;0;Weather
15.1670199;0.001447;98.2258;341.0424;77.8763;324.372;2.4801E-5;4.07E-6;0;Weather
15.16703032;0.0014465;98.2256;342.1149;74.8205;325.8343;2.544E-5;4.2E-6;0;Weather
15.16703544;0.001446;98.2255;342.6299;73.4084;39.6304;2.6027E-5;4.32E-6;0;Weather
15.16703992;0.0014449;98.2254;343.1878;71.8264;329.2895;2.5861E-5;4.28E-6;0;Weather
15.16704523;0.0014436;98.2253;343.775;70.1859;46.792;2.6198E-5;4.35E-6;0;Weather
15.16705145;0.0014412;98.2252;344.408;68.3946;354.5739;2.6449E-5;4.4E-6;0;Weather
15.16705831;0.0014378;98.225;345.1938;66.1328;352.3826;2.5791E-5;4.27E-6;0;Weather
15.16705904;0.0014371;98.225;345.2641;65.9266;346.6578;2.5713E-5;4.25E-6;0;Weather
15.16706947;0.0014351;98.2249;345.9198;64.052;49.0986;2.8545E-5;4.81E-6;0;Weather
15.1670756;0.0014319;98.2248;346.9925;60.9796;52.0222;2.4821E-5;4.08E-6;0;Weather
15.16707896;0.00143;98.2247;347.34;59.9251;2.5264;2.4866E-5;4.09E-6;0;Weather
15.16708078;0.0014293;98.2247;347.4835;59.5175;5.2786;2.5094E-5;4.13E-6;0;Weather
15.16708548;0.001427;98.2246;348.4124;56.8763;3.9561;2.3145E-5;3.75E-6;0;Weather
15.167087;0.0014263;98.2246;348.6229;56.2844;344.2604;2.3033E-5;3.73E-6;0;Weather
15.16709193;0.0014222;98.2245;349.6957;53.2122;347.9904;2.0532E-5;3.24E-6;0;Weather
15.16710409;0.0014168;98.2244;350.6996;50.3173;4.7528;2.4591E-5;4.03E-6;0;Weather
15.16710987;0.0014127;98.2243;351.3549;48.4496;65.1937;2.4688E-5;4.05E-6;0;Weather
15.167114;0.0014096;98.2242;351.9129;46.7248;356.0037;2.3795E-5;3.88E-6;0;Weather
15.16712196;0.0014047;98.2241;352.8443;43.957;8.2899;2.2858E-5;3.69E-6;0;Weather
15.16712853;0.0014013;98.224;353.4999;42.0356;70.3846;2.3433E-5;3.81E-6;0;Weather
15.1671328;0.0013988;98.2239;353.9909;40.5661;23.9486;2.3297E-5;3.78E-6;0;Weather
15.16714331;0.0013955;98.2238;354.7149;38.4562;70.8367;2.6977E-5;4.5E-6;0;Weather
15.16714389;0.0013942;98.2238;354.9899;37.6497;16.3918;2.5711E-5;4.25E-6;0;Weather
15.1671447;0.0013937;98.2238;355.0634;37.4322;26.7088;2.5832E-5;4.28E-6;0;Weather
15.1671502;0.0013883;98.2236;355.9286;34.9538;65.2806;2.5318E-5;4.18E-6;0;Weather
15.16715146;0.0013875;98.2236;356.0628;34.5609;21.2076;2.5387E-5;4.19E-6;0;Weather
15.16715328;0.0013863;98.2236;356.2793;33.9435;32.0189;2.5436E-5;4.2E-6;0;Weather
15.16716258;0.0013808;98.2234;357.1356;31.4313;25.7794;2.705E-5;4.52E-6;0;Weather
15.16716319;0.0013802;98.2234;357.2069;31.2292;24.7682;2.6976E-5;4.5E-6;0;Weather
15.16716367;0.0013798;98.2234;357.2744;31.0421;4.8472;2.6883E-5;4.48E-6;0;Weather
15.16717352;0.001371;98.2231;358.4196;27.6136;14.3853;2.5134E-5;4.14E-6;0;Weather
15.16718364;0.0013633;98.2229;359.492;24.354;17.5435;2.3123E-5;3.75E-6;0;Weather
15.1671928;0.0013599;98.2228;0.007;22.8066;91.9454;2.5852E-5;4.28E-6;0;Weather
15.16719565;0.0013557;98.2228;0.5642;21.1346;18.9743;2.3123E-5;3.75E-6;0;Weather
15.16720129;0.0013519;98.2227;1.1552;19.3784;116.7075;2.2924E-5;3.71E-6;0;Weather
15.16721753;0.0013407;98.2225;2.6418;14.9176;46.5653;2.5915E-5;4.29E-6;0;Weather
15.16722559;0.0013312;98.2224;3.7821;11.4604;31.8235;2.4675E-5;4.05E-6;0;Weather
15.16723766;0.0013228;98.2223;4.7849;8.3637;44.3301;2.636E-5;4.38E-6;0;Weather
15.16723909;0.0013215;98.2223;4.9257;7.9295;33.9749;2.6331E-5;4.38E-6;0;Weather
